"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
"360","2014-01-01 00:23:46","2014-01-01 00:29:46","533","Broadway & W 39 St","40.75299641","-73.98721619","525","W 34 St & 11 Ave","40.75594159","-74.0021163","19772","Subscriber","1983","1"
"752","2014-01-01 00:23:58","2014-01-01 00:36:30","444","Broadway & W 24 St","40.7423543","-73.98915076","236","St Marks Pl & 2 Ave","40.7284186","-73.98713956","18671","Subscriber","1957","1"
"751","2014-01-01 00:23:59","2014-01-01 00:36:30","383","Greenwich Ave & Charles St","40.735238","-74.000271","445","E 10 St & Avenue A","40.72740794","-73.98142006","19655","Subscriber","1970","1"
"513","2014-01-01 00:24:41","2014-01-01 00:33:14","335","Washington Pl & Broadway","40.72903917","-73.99404649","458","11 Ave & W 27 St","40.751396","-74.005226","14711","Subscriber","1963","1"
"585","2014-01-01 00:25:40","2014-01-01 00:35:25","116","W 17 St & 8 Ave","40.74177603","-74.00149746","540","Lexington Ave & E 26 St","40.74147286","-73.98320928","15296","Subscriber","1966","1"
"819","2014-01-01 00:26:19","2014-01-01 00:39:58","3002","South End Ave & Liberty St","40.711512","-74.015756","127","Barrow St & Hudson St","40.73172428","-74.00674436","19323","Subscriber","1956","2"
"800","2014-01-01 00:26:25","2014-01-01 00:39:45","3002","South End Ave & Liberty St","40.711512","-74.015756","127","Barrow St & Hudson St","40.73172428","-74.00674436","19387","Subscriber","1959","1"
"1957","2014-01-01 00:27:00","2014-01-01 00:59:37","2006","Central Park S & 6 Ave","40.76590936","-73.97634151","497","E 17 St & Broadway","40.73704984","-73.99009296","20352","Customer",\N,"0"
"851","2014-01-01 00:27:24","2014-01-01 00:41:35","251","Mott St & Prince St","40.72317958","-73.99480012","404","9 Ave & W 14 St","40.7405826","-74.00550867","16253","Customer",\N,"0"
"1942","2014-01-01 00:27:26","2014-01-01 00:59:48","2006","Central Park S & 6 Ave","40.76590936","-73.97634151","497","E 17 St & Broadway","40.73704984","-73.99009296","19734","Customer",\N,"0"
"496","2014-01-01 00:27:55","2014-01-01 00:36:11","83","Atlantic Ave & Fort Greene Pl","40.68382604","-73.97632328","390","Duffield St & Willoughby St","40.69221589","-73.9842844","16180","Customer",\N,"0"
"188","2014-01-01 00:27:56","2014-01-01 00:31:04","482","W 15 St & 7 Ave","40.73935542","-73.99931783","404","9 Ave & W 14 St","40.7405826","-74.00550867","21183","Subscriber","1981","1"
"1403","2014-01-01 00:28:23","2014-01-01 00:51:46","422","W 59 St & 10 Ave","40.770513","-73.988038","509","9 Ave & W 22 St","40.7454973","-74.00197139","16618","Customer",\N,"0"
"1391","2014-01-01 00:28:30","2014-01-01 00:51:41","422","W 59 St & 10 Ave","40.770513","-73.988038","352","W 56 St & 6 Ave","40.76340613","-73.97722479","17060","Customer",\N,"0"
"1747","2014-01-01 00:29:05","2014-01-01 00:58:12","128","MacDougal St & Prince St","40.72710258","-74.00297088","545","E 23 St & 1 Ave","40.736502","-73.97809472","16276","Subscriber","1965","1"
"686","2014-01-01 00:29:39","2014-01-01 00:41:05","486","Broadway & W 29 St","40.7462009","-73.98855723","168","W 18 St & 6 Ave","40.73971301","-73.99456405","20887","Subscriber","1982","2"
