,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
43,2,2021-02-01 00:32:25,2021-02-01 01:14:48,1.0,14.2,1.0,N,132,89,1,41.0,0.5,0.5,3.5,0.0,0.3,45.8,0.0,
44,1,2021-02-01 00:05:54,2021-02-01 00:24:21,1.0,3.6,1.0,N,140,151,1,14.5,3.0,0.5,3.65,0.0,0.3,21.95,2.5,
45,2,2021-02-01 00:20:09,2021-02-01 01:42:57,1.0,29.59,1.0,N,55,264,1,85.0,0.5,0.5,0.0,6.12,0.3,92.42,0.0,
46,2,2021-02-01 00:09:27,2021-02-01 00:48:37,1.0,18.76,1.0,N,132,66,1,50.0,0.5,0.5,25.0,0.0,0.3,76.3,0.0,
47,2,2021-02-01 00:09:38,2021-02-01 00:12:28,1.0,0.8,1.0,N,90,68,2,4.5,0.5,0.5,0.0,0.0,0.3,8.3,2.5,
48,2,2021-02-01 00:19:17,2021-02-01 00:57:11,1.0,6.62,1.0,N,186,37,2,26.5,0.5,0.5,0.0,0.0,0.3,30.3,2.5,
49,2,2021-02-01 00:27:41,2021-02-01 00:28:56,1.0,0.19,1.0,N,262,263,2,3.0,0.5,0.5,0.0,0.0,0.3,6.8,2.5,
50,1,2021-02-01 00:17:17,2021-02-01 00:26:12,1.0,1.4,1.0,N,211,79,2,7.5,3.0,0.5,0.0,0.0,0.3,11.3,2.5,
51,1,2021-02-01 00:43:27,2021-02-01 00:47:09,1.0,0.8,1.0,N,237,141,2,5.0,3.0,0.5,0.0,0.0,0.3,8.8,2.5,
52,2,2021-02-01 00:27:34,2021-02-01 00:51:40,1.0,5.61,1.0,N,79,236,1,20.0,0.5,0.5,2.0,0.0,0.3,25.8,2.5,
53,2,2021-02-01 00:39:37,2021-02-01 01:06:01,1.0,7.97,1.0,N,132,102,2,24.5,0.5,0.5,0.0,0.0,0.3,25.8,0.0,
54,1,2021-02-01 00:17:44,2021-02-01 00:23:50,1.0,0.6,1.0,N,230,48,1,5.5,3.0,0.5,2.3,0.0,0.3,11.6,2.5,
55,1,2021-02-01 00:28:39,2021-02-01 00:51:21,1.0,4.7,1.0,N,48,87,1,17.0,3.0,0.5,5.2,0.0,0.3,26.0,2.5,
56,2,2021-02-01 00:31:34,2021-02-01 00:49:32,1.0,7.56,1.0,N,132,222,2,22.0,0.5,0.5,0.0,0.0,0.3,23.3,0.0,
57,2,2021-02-01 00:55:39,2021-02-01 01:45:23,1.0,11.48,1.0,N,132,225,1,38.5,0.5,0.5,7.96,0.0,0.3,47.76,0.0,
58,2,2021-02-05 00:04:28,2021-02-05 00:22:35,5.0,7.15,1.0,N,161,36,1,22.5,0.5,0.5,9.73,6.12,0.3,42.15,2.5,
59,2,2021-02-01 00:42:09,2021-02-01 00:52:37,1.0,2.1,1.0,N,142,151,1,9.5,0.5,0.5,1.33,0.0,0.3,14.63,2.5,
60,2,2021-02-01 00:53:20,2021-02-01 01:06:31,1.0,3.75,1.0,N,151,229,1,13.0,0.5,0.5,3.36,0.0,0.3,20.16,2.5,
61,1,2021-02-01 00:52:44,2021-02-01 00:57:39,1.0,0.8,1.0,N,186,230,2,5.0,3.0,0.5,0.0,0.0,0.3,8.8,2.5,
62,2,2021-01-31 23:56:33,2021-02-01 00:10:22,1.0,4.85,1.0,N,132,205,2,15.5,0.5,0.5,0.0,0.0,0.3,16.8,0.0,
63,2,2021-01-31 23:57:35,2021-02-01 00:03:27,2.0,1.69,1.0,N,162,107,1,7.0,0.5,0.5,1.0,0.0,0.3,11.8,2.5,
64,2,2021-02-01 00:14:55,2021-02-01 00:26:56,2.0,4.31,1.0,N,137,74,1,13.5,0.5,0.5,3.46,0.0,0.3,20.76,2.5,
65,2,2021-02-01 00:28:49,2021-02-01 00:43:54,1.0,3.44,1.0,N,263,234,1,13.0,0.5,0.5,5.04,0.0,0.3,21.84,2.5,
66,2,2021-02-01 00:51:19,2021-02-01 00:54:19,1.0,0.71,1.0,N,170,107,1,4.0,0.5,0.5,1.0,0.0,0.3,8.8,2.5,
67,2,2021-02-01 00:15:53,2021-02-01 00:50:17,1.0,17.7,2.0,N,132,186,1,52.0,0.0,0.5,12.28,6.12,0.3,73.7,2.5,
68,2,2021-02-01 00:53:27,2021-02-01 00:55:35,1.0,0.46,1.0,N,74,75,1,3.5,0.5,0.5,1.44,0.0,0.3,6.24,0.0,
69,1,2021-02-01 00:03:54,2021-02-01 00:10:49,1.0,1.4,1.0,N,186,107,1,7.0,3.0,0.5,3.2,0.0,0.3,14.0,2.5,
70,2,2021-02-01 00:38:10,2021-02-01 00:53:55,6.0,4.27,1.0,N,263,68,2,14.5,0.5,0.5,0.0,0.0,0.3,18.3,2.5,
